"Scenario","Scen","Beta","Method","n","MSE_se","MSE","Bias_se","Bias","Var_se","Variance","Cor_se","Correlation","Som_se","Somers_D","Detection","Detection_Max","Detection_Quad","Time"
2,"S2 (X14)",0,"DINA Cross-Fit",50,0.0029570693020363,0.0274138498903368,0.0147213862517345,0.0022374510810478,0.00272833509400855,0.0168232487550417,0.0121241240704045,-0.00457884132025086,NA,NA,2,2,6,7.59057999999995
2,"S2 (X14)",0,"DINA Gao (LASSO k2)",50,0.0035029524005265,0.0234166815605691,0.0143954084495998,0.0019814784914642,0.00296233877769461,0.013285164194837,0.0152167753797878,-0.030385056945903,NA,NA,0,0,8,22.87802
2,"S2 (X14)",0,"DR-learner (2-Model 2SL)",50,0.00233979190913715,0.0291743947163895,0.0148577904863218,0.00313192838100783,0.00185292731431647,0.0183844115955606,0.0116937279166441,-0.00745428741257386,NA,NA,0,0,2,103.83076
2,"S2 (X14)",0,"R-learner (LASSO)",50,0.00358876773913071,0.0210036458167287,0.0146757084409407,0.000662882055096975,0.00314778760374903,0.0104707033168119,0.0266430311838188,-0.013287031281466,NA,NA,2,2,6,0.111879999999971
2,"S2 (X14)",0,"Dandl Extension",50,0.00369285154736059,0.0768250994170694,0.0147729733832754,-6.5227447997412e-05,0.00329875575157929,0.0662638264287416,0.0143415986901556,-0.0309398542522716,NA,NA,2,2,6,51.38288
2,"S2 (X14)",1,"DINA Original",50,0.00739543322639455,0.0531295935661768,0.0146008511096067,0.00119568377265066,0.00731852518924215,0.0427676413861447,0.0600353686221193,0.40358548672604,0.0503446669347291,0.294123867525204,22,22,16,4.4993799999999
2,"S2 (X14)",1,"DINA Cross-Fit",50,0.00312348716268261,0.0442967052067384,0.014104739335507,0.00184360811485271,0.00247795294922213,0.0346142949914327,0.0453297608705633,0.240073284873958,0.033525849127706,0.163418345701865,22,22,16,6.92082000000006
2,"S2 (X14)",1,"DINA Gao (LASSO k2)",50,0.00401018010307847,0.0468427608910184,0.0148286958363249,0.00286016805886092,0.00353074148983802,0.0361322239875628,0.0516668006978597,0.30486941961863,0.0416518023377889,0.212690578401927,20,20,18,24.6382
2,"S2 (X14)",1,"DR-learner (2-Model 2SL)",50,0.00294105524913186,0.0416847504381612,0.0142905662351194,0.00335451400789315,0.00206342671796985,0.0317301641194747,0.0357663637115534,0.334476747599086,0.025718768161608,0.227614677972818,24,24,10,103.97482
2,"S2 (X14)",1,"R-learner (LASSO)",50,0.00487498197084201,0.0435356671974819,0.0146060829544351,0.00118091015026638,0.0045779194915578,0.0331470213871531,0.0654002042266131,0.519886406196094,0.0575880361508037,0.408899877291084,22,22,16,0.107679999999973
