"Treatment_Scenario","Scenario","Beta","Method1","Method2","N_Sims","Mean_Delta","SD_Delta","MC_CI_Lo","MC_CI_Hi","Pct_Sims_Sig","Pct_Sims_Method1_Wins","Pct_Sims_Method2_Wins","Pct_Sims_Tie","Overall_Winner"
"RCT",2,0,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.235734379357769,0.115364531941348,0.203756962562866,0.267711796152671,74,0,74,26,"WATCH (Residual Risk)"
"RCT",2,0,"DINA Gao (LASSO k2)","Dandl Extension",50,-0.0410118819771326,0.0613440407060382,-0.0580155825472329,-0.0240081814070323,24,22,2,76,"DINA Gao (LASSO k2)"
"RCT",2,0,"DINA Gao (LASSO k2)","R-learner (LASSO)",50,0.00114153678603439,0.0467701335608823,-0.0118224828243426,0.0141055563964113,18,8,10,82,"Tie"
"RCT",2,0,"DINA Gao (LASSO k2)","WATCH (Residual LASSO)",50,-0.0384478314296579,0.0650419610738678,-0.0564765432305633,-0.0204191196287526,16,14,2,84,"DINA Gao (LASSO k2)"
"RCT",2,0,"DINA Gao (LASSO k2)","WATCH (Residual Risk)",50,-0.0377905824148667,0.0651253121536525,-0.0558423979563562,-0.0197387668733773,14,12,2,86,"DINA Gao (LASSO k2)"
"RCT",2,0,"DINA Original","DINA Cross-Fit",50,-0.00440126981041273,0.0699766253223524,-0.0237978007560871,0.0149952611352617,18,14,4,82,"Tie"
"RCT",2,0,"DINA Original","DINA Gao (GLM k2)",50,-0.268948464788412,0.0895721211372587,-0.293776590058888,-0.244120339517936,86,86,0,14,"DINA Original"
"RCT",2,0,"DINA Original","DINA Gao (LASSO k2)",50,0.0045764969842233,0.0717628712759703,-0.0153151560791058,0.0244681500475524,20,12,8,80,"Tie"
"RCT",2,0,"DINA Original","Dandl Extension",50,-0.0364353849929093,0.057100747614212,-0.052262904725651,-0.0206078652601676,22,20,2,78,"DINA Original"
"RCT",2,0,"DINA Original","R-learner (LASSO)",50,0.00571803377025769,0.0385418425772986,-0.00496521994210854,0.0164012874826239,24.4897959183673,10,14,76,"Tie"
"RCT",2,0,"DINA Original","WATCH (Residual LASSO)",50,-0.0338713344454346,0.0787838367210036,-0.0557090998412143,-0.012033569049655,20,18,2,80,"DINA Original"
"RCT",2,0,"DINA Original","WATCH (Residual Risk)",50,-0.0332140854306434,0.0784282976224393,-0.0549533004162549,-0.0114748704450319,18,16,2,82,"DINA Original"
"RCT",2,0,"DR-learner (2-Model 2SL)","DINA Cross-Fit",50,-0.00236131752651198,0.0293423479817251,-0.0104946014341668,0.0057719663811428,16,12,4,84,"Tie"
"RCT",2,0,"DR-learner (2-Model 2SL)","DINA Gao (GLM k2)",50,-0.266908512504512,0.0998419073736803,-0.294583277286719,-0.239233747722304,90,90,0,10,"DR-learner (2-Model 2SL)"
"RCT",2,0,"DR-learner (2-Model 2SL)","DINA Gao (LASSO k2)",50,0.00661644926812405,0.0377875632475614,-0.00385772888088751,0.0170906274171356,14,6,8,86,"Tie"
"RCT",2,0,"DR-learner (2-Model 2SL)","DINA Original",50,0.00203995228390075,0.0535691984161814,-0.0128086719535206,0.0168885765213221,6,2,4,94,"Tie"
"RCT",2,0,"DR-learner (2-Model 2SL)","DR-learner (Kennedy)",50,0.004319299434988,0.0460802637823446,-0.00845349802876142,0.0170920968987374,12,6,6,88,"Tie"
"RCT",2,0,"DR-learner (2-Model 2SL)","Dandl Extension",50,-0.0343954327090085,0.0444936478566358,-0.0467284426757167,-0.0220624227423004,18,18,0,82,"DR-learner (2-Model 2SL)"
"RCT",2,0,"DR-learner (2-Model 2SL)","R-learner (LASSO)",50,0.00775798605415843,0.0282862276539712,-8.25562340588766e-05,0.0155985283423757,8,4,4,92,"Tie"
"RCT",2,0,"DR-learner (2-Model 2SL)","WATCH (Residual LASSO)",50,-0.0318313821615339,0.0616106693138017,-0.0489089884111045,-0.0147537759119633,12,12,0,88,"DR-learner (2-Model 2SL)"
"RCT",2,0,"DR-learner (2-Model 2SL)","WATCH (Residual Risk)",50,-0.0311741331467427,0.0612852832582918,-0.0481615469832623,-0.0141867193102231,14,14,0,86,"DR-learner (2-Model 2SL)"
"RCT",2,0,"DR-learner (Kennedy)","DINA Cross-Fit",50,-0.00668061696149999,0.0634631295913936,-0.0242716990029429,0.0109104650799429,20,14,6,80,"Tie"
"RCT",2,0,"DR-learner (Kennedy)","DINA Gao (GLM k2)",50,-0.2712278119395,0.0907502884750789,-0.296382508534642,-0.246073115344357,90,90,0,10,"DR-learner (Kennedy)"
"RCT",2,0,"DR-learner (Kennedy)","DINA Gao (LASSO k2)",50,0.00229714983313604,0.0650937696545055,-0.0157459225736568,0.0203402222399289,22,14,8,78,"Tie"
"RCT",2,0,"DR-learner (Kennedy)","DINA Original",50,-0.00227934715108725,0.0191448864518017,-0.0075860389328525,0.00302734463067799,20,8,12,80,"Tie"
"RCT",2,0,"DR-learner (Kennedy)","Dandl Extension",50,-0.0387147321439965,0.0446193160484544,-0.0510825755563055,-0.0263468887316875,22,20,2,78,"DR-learner (Kennedy)"
"RCT",2,0,"DR-learner (Kennedy)","R-learner (LASSO)",50,0.00343868661917043,0.0313279153375169,-0.00524496848006329,0.0121223417184041,28,16,12,72,"Tie"
"RCT",2,0,"DR-learner (Kennedy)","WATCH (Residual LASSO)",50,-0.0361506815965219,0.0709918413022893,-0.055828616054879,-0.0164727471381648,16,14,2,84,"DR-learner (Kennedy)"
"RCT",2,0,"DR-learner (Kennedy)","WATCH (Residual Risk)",50,-0.0354934325817307,0.0704164476667253,-0.0550118760613967,-0.0159749891020647,14,12,2,86,"DR-learner (Kennedy)"
"RCT",2,0,"Dandl Extension","R-learner (LASSO)",50,0.042153418763167,0.0394959351054381,0.0312057040945622,0.0531011334317717,16,0,16,84,"R-learner (LASSO)"
"RCT",2,0,"Dandl Extension","WATCH (Residual LASSO)",50,0.00256405054747463,0.0664591051340393,-0.015857473545978,0.0209855746409272,14,8,6,86,"Tie"
"RCT",2,0,"Dandl Extension","WATCH (Residual Risk)",50,0.00322129956226583,0.0643468763750339,-0.0146147445898541,0.0210573437143857,14,8,6,86,"Tie"
"RCT",2,0,"R-learner (LASSO)","WATCH (Residual LASSO)",50,-0.0395893682156923,0.0560479900727911,-0.0551250784458123,-0.0240536579855724,14,14,0,86,"R-learner (LASSO)"
"RCT",2,0,"R-learner (LASSO)","WATCH (Residual Risk)",50,-0.0389321192009011,0.0559530436073524,-0.054441511613513,-0.0234227267882892,14,14,0,86,"R-learner (LASSO)"
"RCT",2,0,"WATCH (Residual LASSO)","WATCH (Residual Risk)",50,0.000657249014791204,0.0107577238190898,-0.00232463989455208,0.00363913792413449,20,14,6,80,"Tie"
"RCT",2,1,"DINA Cross-Fit","DINA Gao (GLM k2)",50,-0.253712294333931,0.0993882690429267,-0.281261316986104,-0.226163271681757,76,76,0,24,"DINA Cross-Fit"
"RCT",2,1,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,-0.00401395129588102,0.0431085628590344,-0.0159630352888143,0.00793513269705225,18,10,8,82,"Tie"
"RCT",2,1,"DINA Cross-Fit","Dandl Extension",50,-0.0262500676150203,0.0516757162482469,-0.0405738453726887,-0.0119262898573518,6,6,0,94,"DINA Cross-Fit"
"RCT",2,1,"DINA Cross-Fit","R-learner (LASSO)",50,0.00262134088450476,0.0431090706185416,-0.00932788385218329,0.0145705656211928,14,4,10,86,"Tie"
"RCT",2,1,"DINA Cross-Fit","WATCH (Residual LASSO)",50,-0.0133359282682432,0.0659271854797612,-0.0316100117558179,0.00493815521933151,12,8,4,88,"Tie"
"RCT",2,1,"DINA Cross-Fit","WATCH (Residual Risk)",50,-0.0128149863097792,0.0644907156907949,-0.0306909006860848,0.00506092806652642,12,8,4,88,"Tie"
"RCT",2,1,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.24969834303805,0.0899437725133573,0.224767201261929,0.27462948481417,80,0,80,20,"DINA Gao (LASSO k2)"
"RCT",2,1,"DINA Gao (GLM k2)","Dandl Extension",50,0.22746222671891,0.0995948519377169,0.19985594220975,0.255068511228071,78,0,78,22,"Dandl Extension"
"RCT",2,1,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.256333635218435,0.0916508354456916,0.230929319738371,0.281737950698499,78,0,78,22,"R-learner (LASSO)"
"RCT",2,1,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.240376366065687,0.1158686590112,0.208259212376273,0.272493519755101,78,0,78,22,"WATCH (Residual LASSO)"
"RCT",2,1,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.240897308024151,0.113738206837843,0.209370685548817,0.272423930499486,76,0,76,24,"WATCH (Residual Risk)"
"RCT",2,1,"DINA Gao (LASSO k2)","Dandl Extension",50,-0.0222361163191393,0.061649529184431,-0.0393244939753008,-0.00514773866297778,12,8,4,88,"DINA Gao (LASSO k2)"
"RCT",2,1,"DINA Gao (LASSO k2)","R-learner (LASSO)",50,0.00663529218038578,0.0464572957591036,-0.00624201321541987,0.0195125975761914,20,6,14,80,"Tie"
"RCT",2,1,"DINA Gao (LASSO k2)","WATCH (Residual LASSO)",50,-0.00932197697236218,0.0779429750822551,-0.0309266674131567,0.0122827134684324,14,10,4,86,"Tie"
"RCT",2,1,"DINA Gao (LASSO k2)","WATCH (Residual Risk)",50,-0.00880103501389818,0.0770321064330923,-0.0301532455464442,0.0125511755186478,16,12,4,84,"Tie"
"RCT",2,1,"DINA Original","DINA Cross-Fit",50,0.0096325122106592,0.0667402010767973,-0.00886692770293037,0.0281319521242488,16,10,6,84,"Tie"
"RCT",2,1,"DINA Original","DINA Gao (GLM k2)",50,-0.244079782123271,0.0853867376845491,-0.267747778289407,-0.220411785957136,78,78,0,22,"DINA Original"
"RCT",2,1,"DINA Original","DINA Gao (LASSO k2)",50,0.00561856091477817,0.0640172215213581,-0.0121261075738075,0.0233632294033639,26,12,14,74,"Tie"
"RCT",2,1,"DINA Original","Dandl Extension",50,-0.0166175554043611,0.067227545251363,-0.0352520802312287,0.0020169694225065,12,10,2,88,"Tie"
"RCT",2,1,"DINA Original","R-learner (LASSO)",50,0.012253853095164,0.0425208789461679,0.000467666771983691,0.0240400394183442,18,6,12,82,"R-learner (LASSO)"
"RCT",2,1,"DINA Original","WATCH (Residual LASSO)",50,-0.003703416057584,0.0842194715582551,-0.0270478625607256,0.0196410304455576,18,12,6,82,"Tie"
"RCT",2,1,"DINA Original","WATCH (Residual Risk)",50,-0.00318247409912,0.0823876633644916,-0.0260191692759694,0.0196542210777294,18,12,6,82,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","DINA Cross-Fit",50,-0.00406411642993326,0.0244572770609339,-0.0108433277619179,0.00271509490205142,4,4,0,96,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","DINA Gao (GLM k2)",50,-0.257776410763864,0.100370803467156,-0.285597778063653,-0.229955043464075,84,84,0,16,"DR-learner (2-Model 2SL)"
"RCT",2,1,"DR-learner (2-Model 2SL)","DINA Gao (LASSO k2)",50,-0.00807806772581427,0.0447182698061381,-0.0204733397203714,0.00431720426874288,16,12,4,84,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","DINA Original",50,-0.0136966286405924,0.0631079425679542,-0.0311892578621128,0.00379600058092792,16,12,4,84,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","DR-learner (Kennedy)",50,-0.00970515670541326,0.0459073591305915,-0.0224300274448754,0.00301971403404885,10,6,4,90,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","Dandl Extension",50,-0.0303141840449535,0.0407309583518431,-0.0416042296920411,-0.019024138397866,8,8,0,92,"DR-learner (2-Model 2SL)"
"RCT",2,1,"DR-learner (2-Model 2SL)","R-learner (LASSO)",50,-0.00144277554542849,0.0352361078450805,-0.0112097263389802,0.00832417524812325,8,2,6,92,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","WATCH (Residual LASSO)",50,-0.0174000446981765,0.0633259468474491,-0.0349531016230054,0.000153012226652482,12,10,2,88,"Tie"
"RCT",2,1,"DR-learner (2-Model 2SL)","WATCH (Residual Risk)",50,-0.0168791027397125,0.0619763483956369,-0.0340580700594165,0.000299864579991625,10,10,0,90,"Tie"
"RCT",2,1,"DR-learner (Kennedy)","DINA Cross-Fit",50,0.00564104027548,0.0550644261936807,-0.00962203995668953,0.0209041205076495,14,10,4,86,"Tie"
"RCT",2,1,"DR-learner (Kennedy)","DINA Gao (GLM k2)",50,-0.248071254058451,0.0913019436180415,-0.27337886165784,-0.222763646459062,78,78,0,22,"DR-learner (Kennedy)"
"RCT",2,1,"DR-learner (Kennedy)","DINA Gao (LASSO k2)",50,0.00162708897959898,0.0577926988066166,-0.0143922298382593,0.0176464077974573,18,10,8,82,"Tie"
"RCT",2,1,"DR-learner (Kennedy)","DINA Original",50,-0.00399147193517919,0.03883626434429,-0.0147563351977091,0.00677339132735073,16,8,8,84,"Tie"
"RCT",2,1,"DR-learner (Kennedy)","Dandl Extension",50,-0.0206090273395403,0.0468761323851812,-0.0336024283250014,-0.0076156263540792,16,12,4,84,"DR-learner (Kennedy)"
"RCT",2,1,"DR-learner (Kennedy)","R-learner (LASSO)",50,0.00826238115998476,0.0360223711391146,-0.00172251069951476,0.0182472730194843,16,4,12,84,"Tie"
"RCT",2,1,"DR-learner (Kennedy)","WATCH (Residual LASSO)",50,-0.00769488799276319,0.0716621532033361,-0.0275586234306904,0.012168847445164,14,10,4,86,"Tie"
"RCT",2,1,"DR-learner (Kennedy)","WATCH (Residual Risk)",50,-0.0071739460342992,0.0696047412271466,-0.0264673959678837,0.0121195038992853,14,12,2,86,"Tie"
"RCT",2,1,"Dandl Extension","R-learner (LASSO)",50,0.028871408499525,0.0493969406119652,0.0151792751223018,0.0425635418767482,16,0,16,84,"R-learner (LASSO)"
"RCT",2,1,"Dandl Extension","WATCH (Residual LASSO)",50,0.0129141393467771,0.0658962322595567,-0.00535136434589041,0.0311796430394446,12,6,6,88,"Tie"
"RCT",2,1,"Dandl Extension","WATCH (Residual Risk)",50,0.0134350813052411,0.062765058399414,-0.00396250527375066,0.0308326678842329,12,6,6,88,"Tie"
"RCT",2,1,"R-learner (LASSO)","WATCH (Residual LASSO)",50,-0.015957269152748,0.0649013899062329,-0.0339470166139107,0.00203247830841478,16,12,4,84,"Tie"
"RCT",2,1,"R-learner (LASSO)","WATCH (Residual Risk)",50,-0.015436327194284,0.0634454970902826,-0.0330225217557737,0.00214986736720579,12,12,0,88,"Tie"
"RCT",2,1,"WATCH (Residual LASSO)","WATCH (Residual Risk)",50,0.000520941958463994,0.0107868924255561,-0.00246903207609589,0.00351091599302388,16,12,4,84,"Tie"
"RCT",2,2,"DINA Cross-Fit","DINA Gao (GLM k2)",50,-0.219440624936478,0.104834543768659,-0.248499277922634,-0.190381971950323,60,60,0,40,"DINA Cross-Fit"
"RCT",2,2,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,0.0072876570490108,0.0435083244416321,-0.00477223520128025,0.0193475492993018,12,6,6,88,"Tie"
"RCT",2,2,"DINA Cross-Fit","Dandl Extension",50,-0.0115344637474611,0.0705125503240706,-0.0310795455246811,0.00801061802975883,10,6,4,90,"Tie"
"RCT",2,2,"DINA Cross-Fit","R-learner (LASSO)",50,0.0289586441895692,0.0574522215594747,0.013033700849666,0.0448835875294723,26,4,22,74,"R-learner (LASSO)"
"RCT",2,2,"DINA Cross-Fit","WATCH (Residual LASSO)",50,0.0199603036207611,0.0870938646740902,-0.00418088400506964,0.0441014912465918,18,8,10,82,"Tie"
"RCT",2,2,"DINA Cross-Fit","WATCH (Residual Risk)",50,0.019794942670674,0.086273446500663,-0.00411883663965176,0.0437087219809999,20,8,12,80,"Tie"
"RCT",2,2,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.226728281985489,0.0906032211215704,0.201614350380946,0.251842213590033,68,0,68,32,"DINA Gao (LASSO k2)"
"RCT",2,2,"DINA Gao (GLM k2)","Dandl Extension",50,0.207906161189017,0.0965835284413452,0.181134572967592,0.234677749410442,60,0,60,40,"Dandl Extension"
"RCT",2,2,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.248399269126048,0.0850570871542979,0.224822647425054,0.271975890827041,78,0,78,22,"R-learner (LASSO)"
"RCT",2,2,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.239400928557239,0.114619036665679,0.207630152510126,0.271171704604353,78,0,78,22,"WATCH (Residual LASSO)"
"RCT",2,2,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.239235567607152,0.112538502651201,0.208041486166409,0.270429649047896,72,0,72,28,"WATCH (Residual Risk)"
"RCT",2,2,"DINA Gao (LASSO k2)","Dandl Extension",50,-0.0188221207964719,0.071412940272877,-0.038616777934389,0.000972536341445215,10,4,6,90,"Tie"
"RCT",2,2,"DINA Gao (LASSO k2)","R-learner (LASSO)",50,0.0216709871405584,0.0461045206410565,0.00889146601860905,0.0344505082625077,20,0,20,80,"R-learner (LASSO)"
"RCT",2,2,"DINA Gao (LASSO k2)","WATCH (Residual LASSO)",50,0.0126726465717503,0.0901755797445469,-0.0123227488906903,0.0376680420341909,20,10,10,80,"Tie"
"RCT",2,2,"DINA Gao (LASSO k2)","WATCH (Residual Risk)",50,0.0125072856216633,0.0884274998574164,-0.012003566817017,0.0370181380603435,22,8,14,78,"Tie"
"RCT",2,2,"DINA Original","DINA Cross-Fit",50,-0.0187258739742083,0.0506587087785927,-0.0327677516435792,-0.00468399630483731,20,14,6,80,"DINA Original"
"RCT",2,2,"DINA Original","DINA Gao (GLM k2)",50,-0.238166498910687,0.0899166583951577,-0.263090125036684,-0.213242872784689,80,80,0,20,"DINA Original"
"RCT",2,2,"DINA Original","DINA Gao (LASSO k2)",50,-0.0114382169251975,0.0451855268266555,-0.0239630059579985,0.00108657210760351,18,16,2,82,"Tie"
"RCT",2,2,"DINA Original","Dandl Extension",50,-0.0302603377216694,0.060914524394299,-0.0471449824442786,-0.0133756929990602,14,12,2,86,"DINA Original"
"RCT",2,2,"DINA Original","R-learner (LASSO)",50,0.0102327702153609,0.0328268683390201,0.00113362654196636,0.0193319138887554,20,6,14,80,"R-learner (LASSO)"
"RCT",2,2,"DINA Original","WATCH (Residual LASSO)",50,0.00123442964655279,0.0763648838465586,-0.0199328362207177,0.0224016955138232,16,10,6,84,"Tie"
"RCT",2,2,"DINA Original","WATCH (Residual Risk)",50,0.00106906869646578,0.0748733797044206,-0.0196847733151198,0.0218229107080514,16,10,6,84,"Tie"
"RCT",2,2,"DR-learner (2-Model 2SL)","DINA Cross-Fit",50,-0.0117064479751771,0.0280049298991353,-0.0194690185038034,-0.0039438774465508,16,14,2,84,"DR-learner (2-Model 2SL)"
"RCT",2,2,"DR-learner (2-Model 2SL)","DINA Gao (GLM k2)",50,-0.231147072911655,0.103409299312202,-0.259810668289967,-0.202483477533344,70,70,0,30,"DR-learner (2-Model 2SL)"
"RCT",2,2,"DR-learner (2-Model 2SL)","DINA Gao (LASSO k2)",50,-0.00441879092616631,0.0421052060898899,-0.0160897586119383,0.00725217675960564,10,6,4,90,"Tie"
"RCT",2,2,"DR-learner (2-Model 2SL)","DINA Original",50,0.00701942599903116,0.0478826822747253,-0.00625297638140962,0.020291828379472,16,6,10,84,"Tie"
"RCT",2,2,"DR-learner (2-Model 2SL)","DR-learner (Kennedy)",50,0.0119793316994025,0.0483978800223786,-0.00143587621087719,0.0253945396096823,20,4,16,80,"Tie"
"RCT",2,2,"DR-learner (2-Model 2SL)","Dandl Extension",50,-0.0232409117226382,0.0623184809791573,-0.0405147133561322,-0.0059671100891443,8,6,2,92,"DR-learner (2-Model 2SL)"
"RCT",2,2,"DR-learner (2-Model 2SL)","R-learner (LASSO)",50,0.0172521962143921,0.0476130650323639,0.00405452792066751,0.0304498645081166,22,6,16,78,"R-learner (LASSO)"
"RCT",2,2,"DR-learner (2-Model 2SL)","WATCH (Residual LASSO)",50,0.00825385564558396,0.0820246026653863,-0.0144822042397962,0.0309899155309641,20,8,12,80,"Tie"
"RCT",2,2,"DR-learner (2-Model 2SL)","WATCH (Residual Risk)",50,0.00808849469549695,0.0806038083296352,-0.0142537410925666,0.0304307304835605,20,8,12,80,"Tie"
"RCT",2,2,"DR-learner (Kennedy)","DINA Cross-Fit",50,-0.0236857796745796,0.0588175628232552,-0.0399891763044539,-0.00738238304470537,32,28,4,68,"DR-learner (Kennedy)"
"RCT",2,2,"DR-learner (Kennedy)","DINA Gao (GLM k2)",50,-0.243126404611058,0.0876760494936408,-0.267428965635742,-0.218823843586375,78,78,0,22,"DR-learner (Kennedy)"
"RCT",2,2,"DR-learner (Kennedy)","DINA Gao (LASSO k2)",50,-0.0163981226255689,0.0526571387196185,-0.0309939368132458,-0.00180230843789186,20,20,0,80,"DR-learner (Kennedy)"
"RCT",2,2,"DR-learner (Kennedy)","DINA Original",50,-0.00495990570037138,0.033363454725179,-0.0142077835317253,0.00428797213098253,24,14,10,76,"Tie"
"RCT",2,2,"DR-learner (Kennedy)","Dandl Extension",50,-0.0352202434220408,0.0498623101796935,-0.0490413706622866,-0.021399116181795,20,18,2,80,"DR-learner (Kennedy)"
"RCT",2,2,"DR-learner (Kennedy)","R-learner (LASSO)",50,0.00527286451498951,0.0230217554389538,-0.00110844052420589,0.0116541695541849,18,10,8,82,"Tie"
"RCT",2,2,"DR-learner (Kennedy)","WATCH (Residual LASSO)",50,-0.00372547605381858,0.0699392979484517,-0.023111660379323,0.0156607082716858,16,10,6,84,"Tie"
"RCT",2,2,"DR-learner (Kennedy)","WATCH (Residual Risk)",50,-0.0038908370039056,0.0679036764560996,-0.0227127758390309,0.0149311018312197,16,10,6,84,"Tie"
"RCT",2,2,"Dandl Extension","R-learner (LASSO)",50,0.0404931079370303,0.056452658489258,0.0248452293445953,0.0561409865294652,16,2,14,84,"R-learner (LASSO)"
"RCT",2,2,"Dandl Extension","WATCH (Residual LASSO)",50,0.0314947673682222,0.0839201945085763,0.0082332762309429,0.0547562585055015,28,8,20,72,"WATCH (Residual LASSO)"
"RCT",2,2,"Dandl Extension","WATCH (Residual Risk)",50,0.0313294064181352,0.0813460966703663,0.00878141879929556,0.0538773940369748,24,6,18,76,"WATCH (Residual Risk)"
"RCT",2,2,"R-learner (LASSO)","WATCH (Residual LASSO)",50,-0.00899834056880809,0.0690973909277318,-0.0281511601742285,0.0101544790366123,14,10,4,86,"Tie"
"RCT",2,2,"R-learner (LASSO)","WATCH (Residual Risk)",50,-0.0091637015188951,0.0671023250653338,-0.0277635170810311,0.00943611404324088,16,12,4,84,"Tie"
"RCT",2,2,"WATCH (Residual LASSO)","WATCH (Residual Risk)",50,-0.000165360950087015,0.0107050031583441,-0.00313263643783533,0.0028019145376613,16,12,4,84,"Tie"
"RCT",3,0,"DINA Cross-Fit","DINA Gao (GLM k2)",50,-0.284032172100562,0.102647133837126,-0.312484505987555,-0.255579838213568,90,90,0,10,"DINA Cross-Fit"
"RCT",3,0,"DINA Cross-Fit","DINA Gao (LASSO k2)",50,0.00178435922961259,0.0294008325996827,-0.00636513578706375,0.00993385424628893,10,2,8,90,"Tie"
"RCT",3,0,"DINA Cross-Fit","Dandl Extension",50,-0.0522229981126376,0.0536646481645459,-0.0670980796704767,-0.0373479165547985,20,20,0,80,"DINA Cross-Fit"
"RCT",3,0,"DINA Cross-Fit","R-learner (LASSO)",50,-0.00979625180107892,0.0644977221452812,-0.0276741082674844,0.00808160466532661,12,4,8,88,"Tie"
"RCT",3,0,"DINA Cross-Fit","WATCH (Residual LASSO)",50,-0.047524715656059,0.0527411896808784,-0.0621438275815674,-0.0329056037305505,22,22,0,78,"DINA Cross-Fit"
"RCT",3,0,"DINA Cross-Fit","WATCH (Residual Risk)",50,-0.0444056528108914,0.0503979240334296,-0.0583752446368623,-0.0304360609849204,18,18,0,82,"DINA Cross-Fit"
"RCT",3,0,"DINA Gao (GLM k2)","DINA Gao (LASSO k2)",50,0.285816531330174,0.103335895788962,0.257173282370449,0.3144597802899,92,0,92,8,"DINA Gao (LASSO k2)"
"RCT",3,0,"DINA Gao (GLM k2)","Dandl Extension",50,0.231809173987924,0.0941835633021341,0.205702822163322,0.257915525812527,80,0,80,20,"Dandl Extension"
"RCT",3,0,"DINA Gao (GLM k2)","R-learner (LASSO)",50,0.274235920299483,0.0879790470887078,0.24984937262637,0.298622467972595,92,0,92,8,"R-learner (LASSO)"
"RCT",3,0,"DINA Gao (GLM k2)","WATCH (Residual LASSO)",50,0.236507456444503,0.108859766665894,0.20633306859503,0.266681844293976,80,0,80,20,"WATCH (Residual LASSO)"
"RCT",3,0,"DINA Gao (GLM k2)","WATCH (Residual Risk)",50,0.23962651928967,0.109356716627843,0.2093143839385,0.269938654640841,78,0,78,22,"WATCH (Residual Risk)"
"RCT",3,0,"DINA Gao (LASSO k2)","Dandl Extension",50,-0.0540073573422502,0.0547509968240787,-0.0691835593856136,-0.0388311552988867,24,24,0,76,"DINA Gao (LASSO k2)"
"RCT",3,0,"DINA Gao (LASSO k2)","R-learner (LASSO)",50,-0.0115806110306915,0.0719549648398515,-0.0315255097133845,0.00836428765200156,16,14,2,84,"Tie"
"RCT",3,0,"DINA Gao (LASSO k2)","WATCH (Residual LASSO)",50,-0.0493090748856715,0.0513194163126729,-0.0635340913399123,-0.0350840584314307,22,22,0,78,"DINA Gao (LASSO k2)"
"RCT",3,0,"DINA Gao (LASSO k2)","WATCH (Residual Risk)",50,-0.0461900120405039,0.0487576805693906,-0.059704951574197,-0.0326750725068108,16,16,0,84,"DINA Gao (LASSO k2)"
"RCT",3,0,"DINA Original","DINA Cross-Fit",50,0.0101844430326295,0.06616959472037,-0.00815683286834512,0.028525718933604,18,8,10,82,"Tie"
"RCT",3,0,"DINA Original","DINA Gao (GLM k2)",50,-0.273847729067932,0.08426267501545,-0.297204150958435,-0.25049130717743,92,92,0,8,"DINA Original"
"RCT",3,0,"DINA Original","DINA Gao (LASSO k2)",50,0.011968802262242,0.0724660405003444,-0.0081177593660227,0.0320553638905068,18,4,14,82,"Tie"
"RCT",3,0,"DINA Original","Dandl Extension",50,-0.0420385550800081,0.0658181955388957,-0.0602824280972861,-0.0237946820627301,32,28,4,68,"DINA Original"
"RCT",3,0,"DINA Original","R-learner (LASSO)",50,0.00038819123155054,0.0275185627016119,-0.00723956518801771,0.00801594765111879,22.9166666666667,10,12,78,"Tie"
"RCT",3,0,"DINA Original","WATCH (Residual LASSO)",50,-0.0373402726234295,0.0815178928042558,-0.059935879701081,-0.014744665545778,28,26,2,72,"DINA Original"
"RCT",3,0,"DINA Original","WATCH (Residual Risk)",50,-0.0342212097782619,0.0827684904919326,-0.0571634648492665,-0.0112789547072574,24,22,2,76,"DINA Original"
"RCT",3,0,"DR-learner (2-Model 2SL)","DINA Cross-Fit",50,0.00419114287652222,0.023597260942158,-0.0023496841494921,0.0107319699025365,6,2,4,94,"Tie"
"RCT",3,0,"DR-learner (2-Model 2SL)","DINA Gao (GLM k2)",50,-0.279841029224039,0.104003267144274,-0.308669264085642,-0.251012794362437,92,92,0,8,"DR-learner (2-Model 2SL)"
"RCT",3,0,"DR-learner (2-Model 2SL)","DINA Gao (LASSO k2)",50,0.0059755021061348,0.0307814963874537,-0.00255669338747519,0.0145076975997448,8,2,6,92,"Tie"
"RCT",3,0,"DR-learner (2-Model 2SL)","DINA Original",50,-0.00599330015610724,0.0654429504777843,-0.0241331605490763,0.0121465602368619,8,4,4,92,"Tie"
"RCT",3,0,"DR-learner (2-Model 2SL)","DR-learner (Kennedy)",50,-0.00735477157620774,0.0493990326087297,-0.0210474848253495,0.00633794167293403,6,4,2,94,"Tie"
